Team Playstyle,,Weight Combinations,,Match Scenario,,,,,,
Playstyle,Attack,Control,Defense,Early minutes,Closing half,Half time,Build Phase,Tension Time,Late Game,Stoppage Time
ATTACKING,HIGH,HIGH,HIGH,HIGH_PRESS,GEGENPRESSING,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,HIGH_PRESS,DIRECT_PLAY
ATTACKING,HIGH,HIGH,MEDIUM,HIGH_PRESS,GEGENPRESSING,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,HIGH_PRESS,DIRECT_PLAY
ATTACKING,HIGH,HIGH,LOW,HIGH_PRESS,GEGENPRESSING,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,GEGENPRESSING,DIRECT_PLAY
ATTACKING,HIGH,MEDIUM,HIGH,HIGH_PRESS,GEGENPRESSING,HIGH_PRESS,HIGH_PRESS,GEGENPRESSING,HIGH_PRESS,DIRECT_PLAY
ATTACKING,HIGH,MEDIUM,MEDIUM,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,HIGH_PRESS,DIRECT_PLAY
ATTACKING,HIGH,MEDIUM,LOW,HIGH_PRESS,GEGENPRESSING,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,GEGENPRESSING,DIRECT_PLAY
ATTACKING,HIGH,LOW,HIGH,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,HIGH_PRESS,DIRECT_PLAY
ATTACKING,HIGH,LOW,MEDIUM,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,HIGH_PRESS,DIRECT_PLAY
ATTACKING,HIGH,LOW,LOW,HIGH_PRESS,GEGENPRESSING,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,GEGENPRESSING,DIRECT_PLAY
ATTACKING,MEDIUM,HIGH,HIGH,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,MEDIUM,HIGH,MEDIUM,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,MEDIUM,HIGH,LOW,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,MEDIUM,MEDIUM,HIGH,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,MEDIUM,MEDIUM,MEDIUM,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,MEDIUM,MEDIUM,LOW,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,GEGENPRESSING,DIRECT_PLAY
ATTACKING,MEDIUM,LOW,HIGH,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,MEDIUM,LOW,MEDIUM,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,HIGH_PRESS,DIRECT_PLAY
ATTACKING,MEDIUM,LOW,LOW,HIGH_PRESS,GEGENPRESSING,HIGH_PRESS,GEGENPRESSING,GEGENPRESSING,GEGENPRESSING,DIRECT_PLAY
ATTACKING,LOW,HIGH,HIGH,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,LOW,HIGH,MEDIUM,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,LOW,HIGH,LOW,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,LOW,MEDIUM,HIGH,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
ATTACKING,LOW,MEDIUM,MEDIUM,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,HIGH_PRESS,DIRECT_PLAY
