team_name,code,id,manager,style,team_adaptability,team_stamina,formation,atk_weight,def_weight,ctrl_weight
Atalanta,ATA,21,Gian Piero Gasperini,ATTACKING,MEDIUM,HIGH,F_3_4_3,0.718,0.207,0.075
Bologna,BOL,22,Vincenzo Italiano,ATTACKING,MEDIUM,HIGH,F_4_2_3_1,0.315,0.451,0.234
Cagliari,CAG,23,Davide Nicola,DEFENSIVE,HIGH,HIGH,F_4_3_3,0.303,0.247,0.450
Como,COM,24,Cesc Fabregas,CONTROLLING,MEDIUM,MEDIUM,F_4_2_3_1,0.293,0.474,0.233
Empoli,EMP,25,Roberto D'Aversa,DEFENSIVE,MEDIUM,MEDIUM,F_3_5_2,0.117,0.620,0.264
Fiorentina,FIO,26,Raffaele Palladino,CONTROLLING,MEDIUM,MEDIUM,F_4_2_3_1,0.281,0.297,0.422
Genoa,GEN,27,Patric Vieira,DEFENSIVE,MEDIUM,HIGH,F_3_5_2,0.283,0.436,0.281
Hellas Verona,VER,28,Paolo Zanetti,DEFENSIVE,LOW,HIGH,F_4_3_3,0.000,1.000,0.000
Inter Milan,INT,29,Simone Inzaghi,CONTROLLING,HIGH,HIGH,F_3_5_2,0.484,0.186,0.329
Juventus,JUV,30,Igor Tudor,ATTACKING,MEDIUM,HIGH,F_4_3_3,0.588,0.224,0.188
Lazio,LAZ,31,Marco Baroni,ATTACKING,MEDIUM,MEDIUM,F_4_2_3_1,0.505,0.309,0.185
Lecce,LEC,32,Marco Giampaolo,CONTROLLING,LOW,MEDIUM,F_4_3_3,0.208,0.288,0.504
AC Milan,MIL,33,Sergio Conceicao,ATTACKING,HIGH,HIGH,F_4_2_3_1,0.492,0.194,0.315
Monza,MON,34,Alessandro Nesta,DEFENSIVE,MEDIUM,MEDIUM,F_3_4_3,0.076,0.373,0.551
Napoli,NAP,35,Anotonio Conte,ATTACKING,HIGH,HIGH,F_4_3_3,0.553,0.225,0.222
Parma,PAR,36,Christian Chivu,CONTROLLING,MEDIUM,HIGH,F_4_2_3_1,0.268,0.000,0.732
Roma,ROM,37,Claudio Ranieri,DEFENSIVE,HIGH,MEDIUM,F_3_5_2,0.414,0.223,0.363
Torino,TOR,38,Ricardo Baroni,DEFENSIVE,MEDIUM,HIGH,F_3_4_3,0.312,0.075,0.614
Udinese,UDI,39,Kosta Runjaic,DEFENSIVE,MEDIUM,HIGH,F_3_5_2,0.347,0.357,0.296
Venezia,VEN,40,Eusebio Di Francesco,ATTACKING,LOW,MEDIUM,F_4_3_3,0.150,0.296,0.554
