team_name,age,possession,goals_against_90,shots_on_target_against_90,shots,goals_per_shot,minutes_per_start,substitutions,unused_substitution,impact,fouls,fouls_drawn,offside,crosses,interceptions,tackles_won
Arsenal,25.8,56.9,0.89,3.16,14.32,0.12,83,3.74,5.26,0.92,10.6,10.7,2.11,20.2,5.92,9.16
Aston Villa,27,50.5,1.34,4.11,12.58,0.11,80,4.47,4.47,0.18,10.7,13.1,1.45,15.9,6.32,9.79
Bournemouth,25.1,48.5,1.21,4.53,15.11,0.09,83,4.26,4.74,0.32,13.8,10.5,1.84,21.9,9.24,10.5
Brentford,25.8,47.9,1.5,5.45,11.42,0.14,85,3.74,5.26,0.24,8,8.92,1.66,17.7,7.5,10
Brighton,24.8,52.3,1.55,3.87,13.84,0.11,82,4.84,4.16,0.18,12,10.8,1.21,18.5,8.29,11.3
Chelsea,23.7,57.1,1.13,4.08,15.53,0.1,83,3.68,5.32,0.55,12,11.7,1.71,17.4,7.16,9.76
Crystal Palace,26.2,42.8,1.34,3.95,13.47,0.09,83,3.89,5.05,0,11,10.6,1.95,15.9,8.79,11.8
Everton,28,40.9,1.16,4.29,10.63,0.09,84,3.42,5.55,-0.05,11,10.1,2.13,17.9,9.08,11.4
Fulham,28.1,52.3,1.42,4.18,13.58,0.1,83,4.71,4.29,0,11,9.45,1.13,23.5,7.95,10.8
Ipswich Town,25.8,40.6,2.16,5.53,9.84,0.09,82,4.68,4.32,-1.21,11,10.6,1.37,13.3,7.97,8.95
Leicester City,26.5,45.4,2.11,5.5,8.74,0.09,82,4.42,4.58,-1.24,11,10.3,1.66,16.3,8.61,11.3
Liverpool,27.2,57.7,1.08,3.63,16.82,0.12,82,4.34,4.66,1.18,11,9.45,1.58,19.2,7.87,10.3
Manchester City,26.8,61.3,1.16,3.37,15.87,0.11,85,3.45,5.45,0.74,8,10.1,1.18,17.3,6.03,7.87
Manchester United,25.5,53.5,1.42,3.92,13.79,0.07,81,4.24,4.74,-0.26,11,9.76,1.82,16.6,9.42,13
Newcastle United,27.4,51.3,1.24,4.24,13.66,0.12,83,4.29,4.71,0.55,10,11.8,1.87,18.6,7.11,9.76
Nottingham Forest,26.1,41.2,1.21,4.34,12.11,0.12,83,4.39,4.58,0.32,11,11,2.39,16.3,8.47,11
Southampton,25.2,48.5,2.26,6.45,8.97,0.07,80,4.74,4.26,-1.58,12,11.1,1.29,14.4,8.03,9.95
Tottenham Hotspur,25,54.7,1.71,4.74,12.97,0.12,82,4.16,4.82,-0.03,12,12.7,1.66,19.8,8.47,10.9
West Ham United,28.1,48.4,1.63,4.89,12.45,0.08,81,4.53,4.47,-0.42,12,10.4,1.92,16.1,8.71,10.2
Wolves,26.9,48.1,1.82,4.42,11.34,0.12,83,4.39,4.58,-0.39,13,11.2,1.63,14.9,7.84,12.4
