team_name,age,possession,goals_against_90,shots_on_target_against_90,shots,goals_per_shot,minutes_per_start,substitutions,unused_substitution,impact,fouls,fouls_drawn,offside,crosses,interceptions,tackles_won
Atalanta,27.1,55.3,0.97,3.87,14.16,0.13,79,4.87,6.58,1.08,11,10.3,1.42,20.5,7.79,9.13
Bologna,26.4,58.1,1.24,2.79,13.29,0.1,80,4.87,8.82,0.26,14,15.9,1.66,19.9,6.79,9.11
Cagliari,26.6,44.9,1.47,4.03,11.08,0.08,80,4.79,8.08,-0.42,13,10.4,1.71,19.9,7.26,7.97
Como,26.3,54.6,1.37,3.76,13.66,0.08,81,4.92,8.11,-0.08,13,13.6,1.71,14.9,7.34,10.8
Empoli,25.4,41.7,1.55,4.16,9.66,0.08,82,4.45,7.68,-0.68,15,12.1,1.5,16.3,8.5,10.4
Fiorentina,26.3,51,1.08,3.89,11.55,0.12,81,4.66,6.66,0.5,12,14.5,2.32,15.5,7.24,8.24
Genoa,26.2,45.6,1.29,4.16,10.08,0.09,81,4.47,8.39,-0.32,13,11.8,1.45,17.4,8.11,10.1
Hellas Verona,25.1,38.7,1.74,4.53,9.79,0.08,80,4.74,9.68,-0.84,15,9.26,1.45,14.8,8.66,11.4
Inter Milan,29.4,59.4,0.92,3.42,14.87,0.12,80,4.95,7.18,1.16,11,10.7,2.37,19.8,5.97,7.58
Juventus,24.6,57.2,0.92,3.13,13.39,0.1,82,4.32,5.34,0.61,13,9.95,1.37,16.6,5.66,9.29
Lazio,27.1,55.1,1.29,3.13,13.89,0.1,80,4.58,6.42,0.32,11,12.7,1.21,22.7,7.76,8.39
Lecce,26.1,43.8,1.53,4.76,11.84,0.05,80,4.42,8.92,-0.82,12,11.2,1.37,16.5,7.5,9.79
AC Milan,25.6,53.9,1.13,3.74,14.61,0.1,81,4.37,7.42,0.47,11,11.3,1.58,16.7,6.16,9.18
Monza,26.8,48.5,1.82,4.82,8.76,0.07,81,4.53,8.16,-1.08,14,13.9,1.42,17.3,8.03,8.29
Napoli,28.6,54.6,0.71,2.53,13.13,0.1,85,4.16,7.08,0.84,11,11.7,1.45,17.9,7.11,8.5
Parma,23.8,44.2,1.57,4.16,11,0.09,78,4.87,7.47,-0.37,11,12.1,0.82,11.2,7.34,7.71
Roma,26.5,53.9,0.92,3.97,13.53,0.09,81,4.5,8.34,0.55,11,12.7,1.55,16.7,7.42,8.63
Torino,26.7,47.5,1.18,4.74,10.08,0.09,80,4.71,6.66,-0.16,13,10.2,1.5,17.8,7.32,6.87
Udinese,26.4,47.2,1.47,4.32,11.32,0.09,80,4.76,7.32,-0.39,14,9.97,1.32,17.9,7.95,9.11
Venezia,25.4,45.1,1.47,4.95,10.03,0.07,81,4.92,8.34,-0.63,13.2,11.9,1.53,13.9,7.34,9.5
