name,team,league,position,role,overall,minutes,90s
Jan Bednarek,Southampton,eng Premier League,DF,Ball-playing Centre-back,100.0,2531,28.1
Yehvann Diouf,Reims,fr Ligue 1,GK,Goalkeeper,100.0,3060,34.0
Dominik Javorček,Holstein Kiel,de Bundesliga,DF,Fullback / Wing-back,100.0,386,4.3
Saúl Ñíguez,Sevilla,es La Liga,MF,Ball-winning Midfielder,100.0,1553,17.3
Joël Schingtienne,Venezia,it Serie A,DF,Defensive Midfielder,100.0,1122,12.5
Charlie Cresswell,Toulouse,fr Ligue 1,DF,Defensive Centre-back,100.0,2592,28.8
Chris Wood,Nott'ham Forest,eng Premier League,FW,Target Man / Physical Striker,100.0,2959,32.9
Ismaël Bennacer,Marseille,fr Ligue 1,MF,Box-to-box Midfielder,100.0,646,7.2
Ousmane Dembélé,Paris S-G,fr Ligue 1,FW,Creative Attacking Midfielder,100.0,1730,19.2
Kylian Mbappé,Real Madrid,es La Liga,FW,Clinical Striker,100.0,2907,32.3
Noah Okafor,Milan,it Serie A,FW,Wide Midfielder / Winger,100.0,414,4.6
Aleksandar Sedlar,Alavés,es La Liga,DF,Defensive Midfielder,99.9,594,6.6
Giovanni Leoni,Parma,it Serie A,DF,Ball-playing Centre-back,99.6,1199,13.3
Artem Dovbyk,Roma,it Serie A,FW,Target Man / Physical Striker,98.5,2418,26.9
Matija Nastasić,Leganés,es La Liga,DF,Ball-playing Centre-back,98.4,2110,23.4
Conor Coady,Leicester City,eng Premier League,DF,Ball-playing Centre-back,97.9,1714,19.0
Alfon,Celta Vigo,es La Liga,FW,Wide Midfielder / Winger,97.9,1371,15.2
Marcos Alonso,Celta Vigo,es La Liga,DF,Defensive Centre-back,97.6,2647,29.4
Kieran Trippier,Newcastle Utd,eng Premier League,DF,Box-to-box Midfielder,97.5,1309,14.5
Nico O’Reilly,Manchester City,eng Premier League,DF,Ball-winning Midfielder,97.4,528,5.9
Kamory Doumbia,Brest,fr Ligue 1,MF,Ball-winning Midfielder,97.2,1322,14.7
Diego Coppola,Hellas Verona,it Serie A,DF,Ball-playing Centre-back,96.1,2927,32.5
Saba Goglichidze,Empoli,it Serie A,DF,Defensive Midfielder,95.7,2539,28.2
Pau Navarro,Villarreal,es La Liga,DF,Defensive Midfielder,95.4,916,10.2
Toni Lato,Mallorca,es La Liga,DF,Fullback / Wing-back,94.9,621,6.9
Elseid Hysaj,Lazio,it Serie A,DF,Fullback / Wing-back,94.5,424,4.7
Alessandro Bastoni,Inter,it Serie A,DF,Box-to-box Midfielder,94.2,2333,25.9
Caio Henrique Oliveira Silva,Monaco,fr Ligue 1,DF,Fullback / Wing-back,94.0,1929,21.4
Dani Gómez,Valencia,es La Liga,FW,Target Man / Physical Striker,93.8,532,5.9
Robin Koch,Eint Frankfurt,de Bundesliga,DF,Ball-playing Centre-back,93.3,2586,28.7
Christopher Trimmel,Union Berlin,de Bundesliga,DF,Fullback / Wing-back,93.3,1740,19.3
Josip Stanišić,Bayern Munich,de Bundesliga,DF,Box-to-box Midfielder,93.3,876,9.7
Omar El Hilali,Espanyol,es La Liga,DF,Defensive Midfielder,93.0,3153,35.0
Strahinja Pavlović,Milan,it Serie A,DF,Defensive Centre-back,92.6,1864,20.7
Tommaso Augello,Cagliari,it Serie A,DF,Fullback / Wing-back,92.5,2713,30.1
Domingos Duarte,Getafe,es La Liga,DF,Ball-playing Centre-back,92.5,1859,20.7
Patrick Erras,Holstein Kiel,de Bundesliga,DF,Ball-playing Centre-back,92.2,832,9.2
James Sands,St. Pauli,de Bundesliga,MF,Defensive Midfielder,92.0,453,5.0
Lautaro Gianetti,Udinese,it Serie A,DF,Ball-playing Centre-back,91.9,878,9.8
Luka Sučić,Real Sociedad,es La Liga,MF,Ball-winning Midfielder,91.7,1792,19.9
Henri Koudossou,Augsburg,de Bundesliga,DF,Fullback / Wing-back,91.2,748,8.3
Lautaro Valenti,Parma,it Serie A,DF,Ball-playing Centre-back,91.0,1556,17.3
Yanis Zouaoui,Le Havre,fr Ligue 1,DF,Fullback / Wing-back,90.8,976,10.8
